nom,nom2,adresse,retty,url,fb,mail
"タワシタ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1405/100000014095/","https://towershita.jp/",,,
"レストラン フウ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000017074/","http://www.feu.co.jp/","https://www.facebook.com/Restaurant-FEU-324791874295876/",,
"レインボーブリッジビューダイニング＆シャンパンバー マンハッタ",,"東京都","https://retty.me/area/PRE13/ARE16/SUB1302/100000828357/","http://www.interconti-tokyo.com/",,,
"ゴブリ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000007386/","http://www.goblin.co.jp/",,,
"CILQ",,"東京都","https://retty.me/area/PRE13/ARE23/SUB2303/100000872288/","http://cilq.jp/","https://www.facebook.com/cilq.jp/?pnref=story",,
"モレスク",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1404/100000045218/",,,,
"レストラン アラジ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100000004912/","http://www.restaurant-aladdin.com/",,,
"ボン・ピナール",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1405/100000024504/","http://www.bonpinard.com/",,,
"キノシタ",,"東京都","https://retty.me/area/PRE13/ARE1/SUB102/100000006045/","http://www.restaurant-kinoshita.com/",,,
"Crony",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100001311460/","http://www.fft-crony.jp/",,,
"山地陽介",,"京都府","https://retty.me/area/PRE26/ARE112/SUB11201/100001219716/","http://www.yosukeyamaji.com/","https://www.facebook.com/yamaji.yosuke",,
"シノワ 銀座店",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000007852/","http://www.chinois.jp/","https://www.facebook.com/WineBarChinois/",,
"アビエント",,"東京都","https://retty.me/area/PRE13/ARE8/SUB803/100000038494/","http://www.shibuya-e.tokyuhotels.co.jp/ja/restaurant/shop_01/index.html",,,
"ト",,"東京都","https://retty.me/area/PRE13/ARE6/SUB604/100000013449/","http://www.latlas.jp/",,,
"プロヴァ",,"東京都","https://retty.me/area/PRE13/ARE16/SUB1302/100000752155/","http://www.interconti-tokyo.com/rs_pro.html",,,
"レストラン セララバアド",,"東京都","https://retty.me/area/PRE13/ARE664/SUB111/100001196746/","http://www.celaravird.com/",,,
"キッサコ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1405/100000007942/","http://www.kissako.jp/","https://www.facebook.com/kissako.jp/",,
"ヌキテパ",,"東京都","https://retty.me/area/PRE13/ARE13/SUB1303/100000024709/","http://nequittezpas.com/",,,
"カサハ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000010172/","http://www.nishiazabu-kasahara.com/",,,
"クープ ドール",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1404/100000839345/","http://www.lacoupedor.jp/",,,
